date,idx,code,shares,sharesChg,sharesChgRatio,nav,closePrice,changePct,turnoverRate,turnoverValue,turnoverVolume,disc,discountRatioCurve,avgDiscountRatioCurve,size,totalMV,totalAssets,stockRatio,bondRatio,ytdReturn,ytdMaxDrawdown,return1M,return3M,return6M,return1Y,return3Y,maxDrawdown1M,maxDrawdown3M,maxDrawdown6M,maxDrawdown1Y,maxDrawdown3Y,indexDailyChange,index1YReturn,holderAccount,institutionHolderRatio,individualHolderRatio,prlistTop20Ratio,isTPlus0
2026-06-25,沪深300,sh510330,11727249800,-1026000000,-8.75,5.15,5.26,1.60,17.59,9698123896,,0.16,,,60441072744.22,55402000000,90331420930.59,23.28,0,-7.65,,-4.63,-5.45,-7.65,-7.65,-21.03,0.51,0.73,0.73,0.73,3.03,,,0,0,0,35.72,
2026-06-25,沪深300,sz159919,9492516676,-872100000,-9.19,5.16,5.26,1.68,16.79,7560364733,,-0.12,,,48967147273.15,45273000000,93081381417.62,23.25,0,-7.55,,-4.64,-5.62,-7.55,-7.55,-21.37,0.19,0.29,0.29,0.39,3.07,,,0,0,0,36.17,
2026-06-25,上证50,sh510050,7343766800,-73800000,-1,3.01,3.06,1.16,9.68,2004150118,,-0.08,,,22084909897.64,20782000000,66750104213.97,45.53,0,-11.34,,-4.76,-7.11,-11.34,-11.34,-17.91,0.13,0.13,0.27,0.27,1.96,,,240507,92.40,7.60,72.01,
2026-06-25,中证500,sh510500,4325768600,-138000000,-3.19,8.82,9.09,1.11,4.77,1860429662,,-0.12,,,38168851818.96,39260000000,72830564772.30,6.67,0,-14.02,,-8.17,-10.45,-14.02,-14.02,-28.43,0.36,0.36,0.47,0.47,3.85,,,0,0,0,21.81,
2026-06-25,中证1000,sh512100,3209217600,30000000,0.93,3.51,3.57,0.51,13.76,1486707305,,0,,,11253121514.40,10833000000,23271942274.97,4.37,0,-13.52,,-7.94,-9.45,-13.52,-13.52,-35.87,0.41,0.41,0.41,0.41,4,,,0,0,0,12.58,
2026-06-25,上证180,sh510180,4604057700,-35500000,-0.77,4.09,4.17,1.17,1.50,283528222,,0.17,,,18821848283.37,19001000000,21573550251.59,24.40,0,-10.27,,-6.06,-7.43,-10.27,-10.27,-19.56,0.64,0.64,0.64,0.64,1.06,,,0,0,0,42.66,
2026-06-25,上证380,sh530380,154705000,-4000000,-2.59,1.17,1.19,0.68,2.80,4996196,,-0.07,,,180401500.50,179000000,252602850.27,10.61,0,-12.62,,-6.96,-8.54,-12.62,-12.62,-12.62,0.36,0.36,0.55,0.55,0.55,,,0,0,0,21.80,
2026-06-25,深证100,sz159901,943534930,5600000,0.59,4.06,4.19,2.52,11.62,466842270,,-0.14,,,3832921946.14,4066000000.00,6172049623.57,42.61,0,-6.30,,-6.30,-6.30,-6.30,-8.99,-28.56,0.19,0.21,0.35,0.35,0.86,,,0,0,0,61.15,
2026-06-25,深证50,sz159150,86997623,1000000,1.15,1.77,1.83,2.75,7.36,11605391,,-0.20,,,154064090.57,159000000,136331799.21,54,0,-7.49,,-6.36,-6.36,-7.49,-8.80,-22.49,0.42,0.42,0.42,0.44,0.44,,,0,0,0,74.65,
2026-06-25,中证A500,sz159338,18572086664,6000000,0.03,1.31,1.35,1.89,15.88,3882995636,,-0.11,,,24385149789.83,24671000000,29160389016.98,20.29,0,-8.30,,-5.98,-7.10,-8.30,-8.30,-14.83,0.22,0.33,0.33,0.43,0.55,,,0,0,0,33.25,
